"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"O00560",0,6269.141,1135.817,21933.9,0,0,772.9056,2136.746,1820.724,1727.91,0,0
"O00560.1",2102.056,50355.05,248.9275,3239.16,1315.904,0,0,0,0,892.3565,0,0
"O00560.2",77323.02,307637.4,98442.28,192982.4,24851.34,16547.95,5565.282,0,3264.563,5901.958,0,0
"O15264",104287.8,75887.37,773377.5,481165.5,1027196,1163747,4080239,4885818,3093787,2759105,0,0
"O15264.1",35955.9,44102.32,57145.17,34638.01,21231.26,49499.7,666107,379313.6,255792.1,579765,0,0
"O15551",187023.5,124867.7,4487444,2572575,535809.2,434645.9,91361.88,65997.91,243250.4,206632.6,0,0
"O43490",252694.3,322889.5,34886740,6651274,832708.7,827703.4,498518.9,118448.8,151636.8,121583,0,0
"O43490.1",267179.4,251301.7,26259010,29240210,686115.4,1776036,753784.8,901784.6,2063315,1653803,0,0
"O43490.2",2033.339,2220.75,541270.3,781086.7,816.6769,0,6839.682,2764.548,57.40908,7160.04,0,0
"O43490.3",2120.956,638.161,994154.3,2864331,1438.375,37167.2,2785.613,17105.35,979.5057,4221.535,0,0
"O43490.4",38365.29,43994.34,753849.4,720885.5,34.1258,2124.875,6940.725,5031.957,587.936,2744.343,0,0
"O43490.5",5490.428,5454.321,860590.9,1149234,6316.696,6805.258,1923.456,3093.063,7751.323,3843.347,0,0
"O60547",30311.25,30264.84,63838.29,227563.6,161.4557,0,3383.508,32707.36,11573.14,63814.54,0,0
"O60716",1906.647,1083.957,34834.1,17576.91,25360.27,18059.33,15348.04,8629.13,93834.76,73759.25,0,0
"O95297",54688.19,45310.94,134641.4,137978.2,6548.123,5864.528,43026.96,49237.23,121392.1,125124.9,0,0
"P00338",350.6803,831.4362,0,0,0,0,4603.467,38769.92,2234.059,71940.54,0,0
"P00338.1",6976.856,12543.54,24515.91,31696.44,18150.74,28909.51,27835.86,30334.32,77551.69,96774.23,0,0
"P04075",5544.516,5677.672,19339.32,24437.86,107809.3,186936.2,120237.3,109147.8,185746,106353.3,0,0
"P05787",1360.798,188.2466,0,2884.781,0,0,1454.659,39635.16,1051.381,7699.515,0,0
"P05787.1",3031.091,629.4888,1388.436,0,0,0,4934.165,18020.37,0,10338.99,0,0
"P07355",5347.118,5018.643,60647.18,34436.6,125081.7,75972.68,215146.7,163098.4,300313.7,319484,0,0
"P07355.1",953192,875298.5,3306093,2221213,5438327,13446270,34431280,29441230,49485760,44764440,0,0
"P07355.2",30649.28,37603.41,6137.797,19751.87,10324.97,3483.849,136504.1,474509.9,64931.69,547862.7,0,0
"P07355.3",8723.55,7826.855,23805.29,70506.48,10204.41,42170.43,335861.8,1070399,361265.2,878196.8,0,0
"P07355.4",35187.93,31620.52,8403.56,9769.818,3888.097,3097.745,108898.5,331878.7,12961.96,90713.3,0,0
"P07355.5",10532.17,7900.675,123422.6,79153.68,2607.988,39996.76,299809,645304.2,104671.2,130324.7,0,0
"P07947",20256.2,9105.704,382894.2,711560.3,110148.8,57201.2,21227.55,192964.9,16210.95,407244.6,0,0
"P09769",0,0,164381.4,73280.02,0,0,0,196.8198,0,406.0595,0,0
"P10768",2566.901,2463.698,42325.2,35400.54,5912.8,389.5303,6169.972,3258.582,6272.512,1753.1,0,0
"P15924",557.5785,0,11472.89,4198.8,13322.81,5418.917,8704.412,4935.128,16961.49,8160.904,0,0
"P15941",230734.7,187180.6,3011110,565517.8,372451.9,288821,1163708,269288,1875262,1063966,0,0
"P15941.1",29697.24,14109.1,1111093,160325.7,222466.9,98932.04,564302.5,71811.65,598318.9,402655.5,0,0
"P15941.2",92585.22,74811.17,1159922,1015874,171887.7,336884.3,313849.8,544577,857971.4,671140.4,0,0
"P15941.3",13264.18,3662.602,1087275,829405.1,236317.4,491704.6,452288.8,553492.9,911749.1,618098.8,0,0
"P15941.4",4435.908,2842.955,265941.2,187592.5,50126.13,93784.48,102567.1,100386.3,152160.1,89517.91,0,0
"P15941.5",6454.579,6.965306,265154.3,27891.21,43289.42,20315.15,113492.4,16082.68,111822.5,66346.02,0,0
"P15941.6",85499.28,69809.82,2199846,2375271,430861.2,907291.2,751929.3,1261011,1679627,1234104,0,0
"P15941.7",153718.4,162621.3,2417136,446855.7,329707.2,190043.6,1011662,215040.7,1177805,999390.9,0,0
"P15941.8",37204.3,34703.4,322994.6,203284.7,163399.1,369284.3,396807.7,320507.4,312393.3,312134.3,0,0
"P15941.9",9506.695,9690.176,68230.96,64971.72,0,74575.08,95956.75,111993.5,96225.11,106205.1,0,0
"P15941.10",725424,555221.3,11403750,6245066,5739038,5044740,6291237,5422422,4982703,4079506,0,0
"P16144",18507.18,15378.47,212492,168545.6,99028.78,87986.3,80214.42,53335.37,122758.6,106213.1,0,0
"P16144.1",0,492.8357,1946.947,12005.52,0,8902.409,9928.384,30976.21,21702.75,23100.07,0,0
"P29317",17603.86,16840.38,314252.8,142809.6,232343.5,216314.4,97089.48,121039.6,365751.6,357216.7,0,0
"P29353",5817.028,8600.735,57438.45,188971.9,5854.814,4873.824,2696.002,49143.78,111.2158,136798.7,0,0
"P31939",877.3432,993.8172,42573.5,53145.26,0,1450.939,14051.37,30634.82,26584.17,83170.27,0,0
"P42685",18331.31,22345.06,209797.4,634181.3,0,0,1458.661,52224.13,4239.601,78665.47,0,0
"P42685.1",4030.957,1468.515,108366.6,91391.72,0,10879.35,4699.321,3650.42,48158.7,48932.77,0,0
"P46059",682.4844,148.1672,477197.6,71004.01,368738.7,73683,281602.9,62805.12,323631.8,311000.4,0,0
"P46059.1",315.0013,904.3459,236150.4,272696,124927.7,256003,103380.4,214873,331867.1,267941.8,0,0
"P46940",1068.001,1525.042,17951.12,9202.298,6262.83,7417.102,8971.792,7589.489,25512.29,20570.59,0,0
"P48960",1511.074,572.5824,29626.97,16352.92,21124.02,17361.06,3808.55,1502.467,9638.819,5408.154,0,0
"P53801",30818.44,27673.16,341997.3,208376.4,23594.72,62958.03,228484,193187.7,55401.37,62716.59,0,0
"P53801.1",8.723678,23.79383,106807.3,47935.47,0,12654.43,74830.2,39630.4,26337.75,26413.38,0,0
"P53801.2",83319.01,92858.27,607576.6,403037.8,86261,182782.9,796313.3,597102.7,357668.5,385286.5,0,0
"P57739",2300.696,491.4286,5032.162,6643.583,0,5895.658,0,0,0,0,0,0
"P57739.1",1035.546,0,220.624,0,0,39889.22,0,0,0,0,0,0
"P60903",23974.98,24299.09,345530.6,231288.6,871921.1,717642.5,472399.8,349712.1,447591.1,354194.9,0,0
"P69905",4504.337,3260.817,23094.36,12528.26,6289.72,15721.58,19120.67,21500.84,13665.54,14586.48,0,0
"Q05655",14468.4,10874.48,292069.9,153209.8,16351.24,150264.4,253243.9,236213.6,1233645,935115.1,0,0
